company_name,rating,reviews,company_type,headquarters,years_old,emp_count
PolicyBazaar,3.4,2.5k,Public,Gurgaon +90 more,16 years old,10k-50k Employees
MRF Tyres,3.8,2.5k,Public,Chennai +165 more,78 years old,10k-50k Employees
RBL Bank,3.8,2.5k,Public,Mumbai +227 more,81 years old,10k-50k Employees
Jubilant Foods Works,3.9,2.5k,Public,Noida +200 more,29 years old,10k-50k Employees
Escorts Kubota Limited,4.1,2.5k,Public,Faridabad +136 more,80 years old,1k-5k Employees
Ceat Tyres,4.1,2.5k,Public,Mumbai +116 more,66 years old,5k-10k Employees
Kotak Mahindara Life Insurance,3.9,2.5k,Public,Mumbai +211 more,23 years old,10k-50k Employees
Dabur,3.9,2.4k,Public,Ghaziabad +255 more,140 years old,5k-10k Employees
JK Cement,4.2,2.4k,Public,Nimbahera +245 more,49 years old,1k-5k Employees
Shoppers Stop,4.1,2.4k,Public,Mumbai +65 more,33 years old,5k-10k Employees
Birlasoft,3.8,2.4k,Public,Pune +35 more,29 years old,10k-50k Employees
ACC,4,2.4k,Public,Mumbai +220 more,88 years old,5k-10k Employees
HARMAN,3.9,2.4k,Public,Stamford +29 more,15 years old,5k-10k Employees
Reliance SMSL,4,2.3k,Public,Mumbai +489 more,17 years old,1k-5k Employees
Indiabulls Home Loans,3.9,2.3k,Public,Gurgaon/Gurugram +192 more,19 years old,5k-10k Employees
KPIT Technologies,3.6,2.4k,Public,Pune +32 more,34 years old,5k-10k Employees
PepsiCo,4.2,2.3k,Public,Harrison +232 more,59 years old,1 Lakh+ Employees
UPL,4.2,2.3k,Public,Mumbai +160 more,55 years old,5k-10k Employees
S&P Global,4.2,2.3k,Public,New York City +24 more,164 years old,10k-50k Employees
Torrent Pharmaceuticals,4,2.3k,Public,Ahmedabad +101 more,53 years old,10k-50k Employees
Dilip Buildcon,4.1,2.3k,Public,Bhopal +192 more,37 years old,10k-50k Employees
Tech Mahindra Business Services,3.5,2.3k,Public,Mumbai +49 more,21 years old,5k-10k Employees
Titan Company,4.4,2.3k,Public,Bangalore +145 more,40 years old,5k-10k Employees
TVS Credit,4.5,2.3k,Public,Chennai +312 more,16 years old,10k-50k Employees
Bajaj Electricals,4.1,2.2k,Public,Mumbai +198 more,86 years old,1k-5k Employees
Apollo Tyres,4.1,2.2k,Public,Gurgaon/Gurugram +151 more,52 years old,5k-10k Employees
Simplex Infrastructures,3.3,2.1k,Public,Kolkata +133 more,100 years old,1k-5k Employees
Domino's Pizza,4,2.2k,Public,Ypsilanti +219 more,64 years old,1k-5k Employees
Suzlon Group,4.2,2.1k,Public,Pune +109 more,29 years old,5k-10k Employees
Zensar Technologies,3.8,2.2k,Public,Pune +22 more,23 years old,5k-10k Employees
Grasim Industries,4.1,2.1k,Public,Nagda +113 more,77 years old,10k-50k Employees
Nestle,4.1,2.1k,Public,Vevey +234 more,65 years old,5k-10k Employees
Lava International,4.1,2k,Public,Noida +212 more,15 years old,1k-5k Employees
Blue Dart Express,4.1,2.1k,Public,Mumbai +239 more,41 years old,10k-50k Employees
Tractors and Farm Equipment,4.1,2k,Public,Chennai +167 more,64 years old,10k-50k Employees
Fortis Healthcare,4.1,2k,Public,Gurgaon/Gurugram +62 more,28 years old,1k-5k Employees
Britannia,4.1,2k,Public,Bengaluru +240 more,132 years old,1k-5k Employees
Voltas,4.1,2k,Public,Mumbai +175 more,70 years old,1k-5k Employees
Sterlite Technologies,3.8,2k,Public,Pune +80 more,36 years old,1k-5k Employees
Shree Cement,4,1.9k,Public,Kolkata +202 more,45 years old,5k-10k Employees
Kyndryl,4.1,2k,Public,New York +26 more,3 years old,10k-50k Employees
Exide Industries,3.6,1.9k,Public,Kolkata +188 more,77 years old,5k-10k Employees
Dalmia Bharat Cement,4,1.9k,Public,Delhi/NCR +208 more,89 years old,5k-10k Employees
Ajanta Pharma,4.1,1.9k,Public,Mumbai +97 more,51 years old,5k-10k Employees
Blue Star,4.1,1.9k,Public,Mumbai +133 more,81 years old,1k-5k Employees
Motilal Oswal Financial Services,3.8,1.9k,Public,Mumbai +128 more,37 years old,5k-10k Employees
Mahindra Rural Housing Finance,4.1,1.8k,Public,Mumbai +415 more,17 years old,10k-50k Employees
Zomato,3.8,1.9k,Public,Gurgaon +180 more,16 years old,1k-5k Employees
Mahindra Logistics,4.1,1.8k,Public,Mumbai +121 more,24 years old,1k-5k Employees
Delhi Public School,3.9,1.8k,Public,Greater Noida +237 more,26 years old,1k-5k Employees
PVR Cinemas,4.1,1.8k,Public,Gurgaon +107 more,27 years old,1k-5k Employees
Future Retail,4.3,1.8k,Public,San Francisco +198 more,37 years old,10k-50k Employees
JMC Projects,4.2,1.8k,Public,Mumbai +118 more,42 years old,1k-5k Employees
SRF,4.3,1.8k,Public,Gurgaon/Gurugram +47 more,54 years old,5k-10k Employees
V-Mart,4.3,1.8k,Public,Gurgaon/Gurugram +240 more,22 years old,5k-10k Employees
Kalpataru Power Transmission,4.2,1.8k,Public,Mumbai +213 more,43 years old,1k-5k Employees
Datamatics Global Services,3.6,1.8k,Public,Mumbai +28 more,49 years old,5k-10k Employees
Kansai Nerolac Paints,3.9,1.8k,Public,Mumbai +184 more,104 years old,1k-5k Employees
Pfizer,4.1,1.7k,Public,Chennai +113 more,20 years old,1k-5k Employees
Tata Teleservices,4.1,1.7k,Public,Mumbai +147 more,28 years old,201-500 Employees
3i Infotech,3.6,1.7k,Public,Mumbai +109 more,31 years old,1k-5k Employees
Raymond,4.1,1.7k,Public,New York +129 more,99 years old,5k-10k Employees
ICICI Securities,3.8,1.7k,Public,Mumbai +124 more,29 years old,1k-5k Employees
Ambuja Cements,4,1.7k,Public,Mumbai +199 more,41 years old,5k-10k Employees
Cadila Pharmaceuticals,3.6,1.7k,Public,Ahmedabad +116 more,73 years old,5k-10k Employees
Info Edge,4.1,1.7k,Public,Noida +58 more,29 years old,5k-10k Employees
Shell,4.3,1.7k,Public,London +75 more,117 years old,10k-50k Employees
Poonawalla Fincorp,3.9,1.6k,Public,Mumbai +249 more,36 years old,1k-5k Employees
Whirlpool,4.1,1.7k,Public,Michigan +141 more,113 years old,1k-5k Employees
Tata Elxsi,4,1.7k,Public,Bangalore/Bengaluru +25 more,35 years old,5k-10k Employees
Jindal Stainless,4.3,1.7k,Public,Delhi/NCR +58 more,54 years old,1k-5k Employees
Endurance Technologies,3.9,1.6k,Public,Aurangabad +38 more,39 years old,1k-5k Employees
Force Motors,3.6,1.6k,Public,Pune +87 more,66 years old,1k-5k Employees
ITC Hotels,4.2,1.6k,Public,Kolkata +77 more,49 years old,5k-10k Employees
Syngene International,4,1.6k,Public,Bangalore/Bengaluru +14 more,31 years old,1k-5k Employees
Sobha,4,1.6k,Public,Bangalore/Bengaluru +36 more,29 years old,1k-5k Employees
Care Health Insurance,3.7,1.6k,Public,Gurgaon +197 more,12 years old,5k-10k Employees
Aavas Financiers,4,1.6k,Public,Jaipur +236 more,13 years old,5k-10k Employees
HCL Infosystems,4,1.6k,Public,Noida +107 more,48 years old,51-200 Employees
Varroc Group,3.8,1.6k,Public,Aurangabad +34 more,36 years old,1k-5k Employees
Coromandel International,4.2,1.6k,Public,Hyderabad/Secunderabad +146 more,63 years old,5k-10k Employees
Allsec Technologies,4.1,1.6k,Public,Chennai +26 more,24 years old,1k-5k Employees
Cisco,4.3,1.6k,Public,San Jose +36 more,40 years old,10k-50k Employees
Power Mech Projects,3.9,1.5k,Public,Hyderabad/Secunderabad +118 more,17 years old,1k-5k Employees
